UID	Lncbook_id	Lncbook_trans_id	transcript_id
ELH000115	HSALNG0009615	HSALNT0019907	HSALNT0019907
ELH000115	HSALNG0009615	HSALNT0019908	HSALNT0019908
ELH000115	HSALNG0009615	HSALNT0019909	HSALNT0019909
ELH000115	HSALNG0009615	HSALNT0019911	HSALNT0019911
ELH000115	HSALNG0009615	HSALNT0019913	HSALNT0019913
ELH000115	HSALNG0009615	HSALNT0019914	HSALNT0019914
ELH000115	HSALNG0009615	HSALNT0297415	HSALNT0297415
ELH000115	HSALNG0009615	HSALNT0297416	HSALNT0297416
ELH000115	HSALNG0009615	HSALNT0297417	HSALNT0297417
ELH000115	HSALNG0009615	HSALNT0297418	HSALNT0297418
ELH000115	HSALNG0009615	HSALNT0297419	HSALNT0297419
ELH000115	HSALNG0009615	HSALNT0297420	HSALNT0297420
ELH000116	HSALNG0009617	HSALNT0019915	HSALNT0019915
ELH000116	HSALNG0009617	HSALNT0019916	HSALNT0019916
ELH000120	HSALNG0009618	HSALNT0019917	HSALNT0019917
ELH000124	HSALNG0009720	HSALNT0020079	HSALNT0020079
ELH000138	HSALNG0010602	HSALNT0021965	HSALNT0021965
ELH000138	HSALNG0010602	HSALNT0021966	HSALNT0021966
ELH000138	HSALNG0010602	HSALNT0021967	HSALNT0021967
ELH000138	HSALNG0010602	HSALNT0021968	HSALNT0021968
ELH000138	HSALNG0010602	HSALNT0021969	HSALNT0021969
ELH000138	HSALNG0010602	HSALNT0021970	HSALNT0021970
ELH000138	HSALNG0010602	HSALNT0021972	HSALNT0021972
ELH000138	HSALNG0010602	HSALNT0021973	HSALNT0021973
ELH000138	HSALNG0010602	HSALNT0021974	HSALNT0021974
ELH000138	HSALNG0010602	HSALNT0021976	HSALNT0021976
ELH000138	HSALNG0010602	HSALNT0298266	HSALNT0298266
ELH000138	HSALNG0010602	HSALNT0298267	HSALNT0298267
ELH000138	HSALNG0010602	HSALNT0298268	HSALNT0298268
ELH000138	HSALNG0010602	HSALNT0298269	HSALNT0298269
ELH000138	HSALNG0010602	HSALNT0298270	HSALNT0298270
ELH000138	HSALNG0010602	HSALNT0298271	HSALNT0298271
ELH000141	HSALNG0010604	HSALNT0021978	HSALNT0021978
ELH000141	HSALNG0010604	HSALNT0289268	HSALNT0289268
ELH000141	HSALNG0010604	HSALNT0298272	HSALNT0298272
ELH000142	HSALNG0010605	HSALNT0021979	HSALNT0021979
ELH000148	HSALNG0010704	HSALNT0022208	HSALNT0022208
ELH000154	HSALNG0011325	HSALNT0023530	HSALNT0023530
ELH000154	HSALNG0011325	HSALNT0023531	HSALNT0023531
ELH000154	HSALNG0011325	HSALNT0023532	HSALNT0023532
ELH000154	HSALNG0011325	HSALNT0023533	HSALNT0023533
ELH000154	HSALNG0011325	HSALNT0023534	HSALNT0023534
ELH000154	HSALNG0011325	HSALNT0023535	HSALNT0023535
ELH000154	HSALNG0011325	HSALNT0023536	HSALNT0023536
ELH000154	HSALNG0011325	HSALNT0298874	HSALNT0298874
ELH000154	HSALNG0011325	HSALNT0298875	HSALNT0298875
ELH000157	HSALNG0011590	HSALNT0024105	HSALNT0024105
ELH000157	HSALNG0011590	HSALNT0024107	HSALNT0024107
ELH000157	HSALNG0011590	HSALNT0024108	HSALNT0024108
ELH000157	HSALNG0011590	HSALNT0024109	HSALNT0024109
ELH000157	HSALNG0011590	HSALNT0024111	HSALNT0024111
ELH000157	HSALNG0011590	HSALNT0024112	HSALNT0024112
ELH000157	HSALNG0011590	HSALNT0024115	HSALNT0024115
ELH000157	HSALNG0011590	HSALNT0024116	HSALNT0024116
ELH000157	HSALNG0011590	HSALNT0299100	HSALNT0299100
ELH000157	HSALNG0011590	HSALNT0299101	HSALNT0299101
ELH000157	HSALNG0011590	HSALNT0299102	HSALNT0299102
ELH000157	HSALNG0011590	HSALNT0299103	HSALNT0299103
ELH000157	HSALNG0011590	HSALNT0299104	HSALNT0299104
ELH000157	HSALNG0011590	HSALNT0299105	HSALNT0299105
ELH000159	HSALNG0011591	HSALNT0024113	HSALNT0024113
ELH000159	HSALNG0011591	HSALNT0024114	HSALNT0024114
ELH000159	HSALNG0011591	HSALNT0024117	HSALNT0024117
ELH000159	HSALNG0011591	HSALNT0024118	HSALNT0024118
ELH000159	HSALNG0011591	HSALNT0299106	HSALNT0299106
ELH000159	HSALNG0011591	HSALNT0299107	HSALNT0299107
ELH000159	HSALNG0011591	HSALNT0299108	HSALNT0299108
ELH000161	HSALNG0011706	HSALNT0024411	HSALNT0024411
ELH000166	HSALNG0011807	HSALNT0024578	HSALNT0024578
ELH000167	HSALNG0011808	HSALNT0024579	HSALNT0024579
ELH000169	HSALNG0011810	HSALNT0024581	HSALNT0024581
ELH000170	HSALNG0011812	HSALNT0024583	HSALNT0024583
ELH000170	HSALNG0011812	HSALNT0024584	HSALNT0024584
ELH000173	HSALNG0012262	HSALNT0025481	HSALNT0025481
ELH000173	HSALNG0012262	HSALNT0025484	HSALNT0025484
ELH001571	HSALNG0012576	HSALNT0026177	HSALNT0026177
ELH001571	HSALNG0012576	HSALNT0026178	HSALNT0026178
ELH001571	HSALNG0012576	HSALNT0026179	HSALNT0026179
ELH001571	HSALNG0012576	HSALNT0299902	HSALNT0299902
ELH001571	HSALNG0012576	HSALNT0299903	HSALNT0299903
ELH001571	HSALNG0012576	HSALNT0299904	HSALNT0299904
