UID,variation_id
ELH001273,45220;45225;45248;45251;135516;177620;1444704;2117789;2445337;2695031;2746255;3001184;45258;45260;45279;496810;1023925;1043841;1058215;2104454;2578363;2907450;962242;971184;1009989;1009894;1016241;1055190;1441678;1366549;1476821;1425739;1508578;1951338;2011607;2129131;2445398;2708436;2757002;45252;638163
ELH001277,18277;18278;44219;199678;263926;636533;988545;1700983
ELH001285,1452195
ELH001303,217832;521391;2817839;191043;430224;520533;521390;561059;691662;2574005;2692441;14115;14118;14123;36642;42096;42992;42993;43003;43004;43066;43069;43083;43088;143213;143214;164284;164294;181366;181396;181395;181261;181386;190401;190407;190406;211558;222734;234713;235033;372604;427207;454374;454380;562179;634544;656887;656264;694311;835759;986378;1008293;1060994;1075461;1175039;1333012;1335943;1483269;1393211;1359840;1488975;1515356;1407730;1526128;1685379;2155573;1978588;2500944;2500945;2671917;2780272
ELH001325,280281;424326;430260;829815;1065463;1324897;2441629;2631384;2683502;3235942;421170;449461;620419;959722;978651;1069186;1071877;1698796;1707478;2432608;2637086;2683508;2683511;2847238
ELH001331,1028857
ELH001332,243036;574478;654128;654968;644955;666960;930633;970311;1072755;1180647;1384683;1454812;1944125;2749616;2814533;3010684
ELH001333,830327;830326;830325;1318173;1377417;1675331;2154860;2572417;2584513;2664084;3031419
ELH001334,870212;986264;3024332
ELH001335,1192322
ELH001336,2713717;3035066;3401;3405;225422;498434;562366;939682;956880;974482;988262;1411648;1433031;2110331;2740919;2810631;2872668;3018725
ELH001337,450999
ELH001338,623670;1098359
ELH001339,452752;391564;1686125;2504331
ELH001340,5228;5232;5234;5236;21467;21468;21474;21476;21483;21484;21485;21487;266064;801435;873228;938527;939152;2202699;2501300;1678023
ELH001341,224088
ELH001342,561203;1064612;1065945;2071139;2500953;2574406;2584487;2762452;2858272;2636262
ELH001343,807716
ELH001344,1341682
ELH001345,4004
ELH001346,219099;521479;620213;620228;801454;817005;1023665;1023218;1036769;1052500;1324328;1468521;1360583;1452472;1385137;1524089;1504650;1451685;1438620;1403731;1457221;1418611;2014464;2037211;2050646;2097027;2093370;2626938;2704367;2768480;2991789;691805;971188;1019587;1451909;1452487;1500451;1424185;1451366;1453036;1455289;1513263;1487787;1444028;1460429;1491007;1492499;1805606;2160116;1897028;1909892;1923812;1957802;2032955;2105466;2135959;2702469;2714156;2816411;2863824;2880712;3028144
ELH001347,2408;2413;2415;431963;934238;961640;987209;1399771;2020503;2042776;2116760;2628394;2742308;2854318
ELH001348,2506374
ELH001349,930864;1323079;2431557
ELH001350,1324552;1393444;2506375
ELH001351,218912;451410;559560;1691768
ELH001352,1321343;2822494;2843503;2866226;2876476;2876477;3002671;3012577
ELH001353,690;265438;488519;488520;973571;987010;988780;1457587;1458099;1727210;2202728;2440334;2627143;2715395;2709717;2745354;2791475;2838100;2878433;2885817;2910847
ELH001354,844320
ELH001355,3062228
ELH001356,985880
ELH001357,2581057
ELH001358,133326;133327;133328;208157;208159;208158;208156;224806;266028;280775;280407;280607;280482;419512;424562;421238;429816;429248;431102;438276;451682;450320;451272;452095;451608;450264;488466;489037;496678;496674;503934;545941;545918;546264;547873;620243;620359;638358;648513;666567;800800;801465;807539;816930;817369;817725;817789;817130;827795;951871;981198;981199;982055;985035;985453;985616;986265;985300;986932;986821;996932;996931;1012519;1048789;1068817;1098349;1215530;1320043;1320090;1455854;1456392;1433194;1382853;1526217;1675324;1685514;1690711;1700057;1700058;1700688;1712550;1722315;1802621;1804100;2023881;2024607;2026535;2120496;2134761;2412702;2430037;2444077;2446032;2572453;2583159;2584546;2584775;2626754;2626756;2626757;2626758;2627825;2635527;2706906;2788817;2801916;2826240;2864999;3024258;3024280;3067115;3068359;3098282;3235001;3237162
ELH001359,374879;2801751;2790814;2963153;374882;449055;2905705;3008945
ELH001360,617918;617929
ELH001361,2626778;2626779
ELH001362,1038789;1411689;1804705;2041799;2068900;804376;847660;2858686
ELH001363,18258;190980;593198;836023;1067803;1301340;1339680;1339681;1379433;18254;18255;18256;18260;661953;1027623;1436300;2124398
ELH001364,5004;5006;6483;6491;421156;426999;1201181;2733870
ELH001365,1201174;1700786;2585517;2630416;432133;2150502;492943;545453;1300160;1327207;1686274;2405212
ELH001366,417684
ELH001367,623682;817792;1064932;1194069;1493354;1442253;1389283;1690858;1909440;2009390;2967466;2975978;3065674;424894;981908;1320223;3029702
ELH001368,1959013
ELH001369,140454
ELH001370,2166595;2190191;2752088
ELH001371,207184;488790;961319;1491299;1686206;1803945;2264109;2682545;2748659
ELH001372,14156;134831;435886;839594;983971;983972;984129;984130;984131;984132;1501999;1395269;1368759;1453136;1486580;1724508;1724677;1725458;1726471;2099374;2129052;2134039;2445436;2933946;2943339;2954326;2948624
ELH001373,14157;134819;493038;632897;1236205;1360846;1492963;1687156;2179041;1988488;2445949;2445435;2922162;2931315;2940813;2950075
ELH001374,1339011;1371937;2700534
ELH001375,1687066;2671662;3065569
ELH001376,2573189;2576566
ELH001377,8448;383925;667373;839342;935371;983475;1077103;1418123;1459316;1424381;1428067;2086066;2440302;2632844;2922450;2922986;2947078;2952039;3237156
ELH001378,1033966;1483963;2045377
ELH001379,2955240;1452716;2703532;2957699;17038;35592;1450812;1375292;1457326;1448095;1453039;2184961;2014711;2103578;2693317;2747900;2865963;2876823;2971405;35594;35595;1032165;1325387;1457390;1477878;1453762;1457268;2174163;1959060;2032703;2080806;2697996;2789944;2844283;2857921;2883477
ELH001380,1699935;806143;1031070;2857013;2905566;561193;807637;915467;1394541;1451828;1452695;1805964;1968661;2026215;2442104;2501775;2777330;2843878;2880869;873537;1502993;1514455;2010146;2023446;2714130;2848915
ELH001381,806143;1031070;2857013;2905566
ELH001382,801492;870658;1454544;2776920
ELH001383,133287;663105;965085;1694516;2151877;2581183
ELH001384,36465
ELH001385,3075713
ELH001386,2005679
ELH001387,1098570;1098569;1098568;1098567
ELH001388,225330;1033458
ELH001389,1805125
ELH001390,1968159
ELH001391,549853;618145;2672221
ELH001392,866510;1455137;99432;99433;99437;99438;99439;99447;99450;99452;99453;99455;99456;99457;99458;99459;99460;99461;99463;99467;99468;99469;99472;99473;99476;99481;99485;236150;236149;236147;236145;282140;283573;372292;377409;417995;424900;498228;546599;635991;635988;635989;801503;801504;806156;817857;836905;843110;846607;866115;866383;866298;865907;936695;942605;958944;965953;1015873;1048152;1048156;1048141;1048146;1071049;1071050;1452445;1364039;1457651;1477198;1435338;1393961;1480664;1348162;1440605;1432843;1460404;1437246;1437316;1692998;2151881;2151882;2202779;2202780;2017728;2008709;2021273;2035425;2087308;2098035;2098051;2105771;2119013;2434728;2440903;2442572;2507050;2692299;2693339;2705169;2718055;2733910;2776897;2813587;2824182;2837166;2856450;2844543;2852398;2865406
ELH001393,92869;99303;99304;99312;99316;99317;99321;99323;99325;99330;99331;99334;99335;99337;99338;190984;236116;236123;236122;236120;289420;427117;429819;438098;438097;511074;522465;560421;801507;801508;806162;813144;813145;813138;813137;842585;853057;862984;866120;866944;866198;865893;866320;865963;867142;866546;871795;939243;971512;969222;986969;1013244;1019158;1048119;1048124;1057512;1066209;1067804;1068694;1069098;1073491;1071107;1213859;1480040;1457674;1457677;1395858;1519387;1452188;1508703;1453743;1347072;1460063;1515071;1447532;1685486;2151886;2202787;2017429;2009746;2019880;2111288;2119533;2439783;2504457;2705738;2708344;2732078;2733921;2733922;2766538;2776777;2824008;2834522;2832274;2831785;2844431;2907282;2907283;2910114;2981199;3027729;7904;99244;99245;99249;99254;99256;99259;99260;99261;99263;99266;99267;99275;99276;99278;99282;99283;99284;99285;99286;99288;99289;99292;99293;99294;196609;236115;236114;236113;236112;236111;236110;236109;236106;377404;417992;417991;417990;424901;438096;623693;636147;636212;801509;801510;801511;812204;813136;857006;860842;854504;861937;866714;866086;866643;866870;866062;871796;871798;936266;969178;1024633;1048125;1054140;1073023;1071758;1076571;1068500;1284272;1342853;1466851;1457682;1457683;1476832;1396459;1451146;1452798;1451858;1479388;1482377;1481282;1413277;1455575;1376338;1376410;1442046;1457245;1437896;1721483;2169476;2202788;2418845;2000194;2014201;2006556;2026757;2063742;2082315;2123892;2499508;2628047;2697215;2699326;2707588;2710431;2749696;2750636;2755364;2772849;2824513;2827467;2849768;2856084;2890087;2910115
ELH001394,1075789;2076714
ELH001395,7899;99110;99217;99305;280328;429217;801520;834140;866562;959914;973686;1455818;1457722;1377355;1350865;2202817;2128581;2129982;2697324;2706346;2852953
ELH001396,242343
ELH001397,370956;371384;370928;550624;1722331;1805301;2674904;2674908;2674914;2674942;371215;371510;371437;551707;370465;2674910;2674917;370868;370760;423651;551164;554975;2674916;2674923;2674925;2674932;2674938;2674945;188871;370923;371596;371160;370712;813354;2674953
ELH001398,370307;370668;2429124;2674915;2674929
ELH001399,370476;2506136
ELH001400,166983;551754;801529;2122776;2573480;2772684;93999;94000;94001;94002;197203;527136;527132;557107;554452;657974;977617;983639;983640;983641;983642;1066691;1069743;1331436;1474388;1394661;1458060;1502605;1726004;2674729;2674730;2674733;2683756;2757741;2757829;2822401;11950;94003;195157;551067;983643;983644;1067759;1322190;1397613;1395522;1354525;1510030;1434529;1725942;1726587;2674728;3064163
ELH001401,1451885;2507228;2811591;559435;559436;638289;2065531;235145;235146;559439;691620
ELH001402,1492520
